编号,日期,账户,推广计划,展示数,点击数,消耗,点击率,点击均价,有消耗词量
222,2021-01-08,ruri38@sina.com,壁纸-卡通壁纸,80,12,5.40,15%,0.45,2
223,2021-01-08,ruri38@sina.com,壁纸-布朗熊,9,2,0.90,22.219999999999998863131622783839702606201171875%,0.45,2
224,2021-01-08,ruri38@sina.com,壁纸-宇宙,5,1,0.45,20%,0.45,1
225,2021-01-08,ruri38@sina.com,壁纸-火影,925,69,32.37,7.45999999999999996447286321199499070644378662109375%,0.47,13
226,2021-01-08,ruri38@sina.com,壁纸-哆啦a梦,225,13,5.85,5.78000000000000024868995751603506505489349365234375%,0.45,5
227,2021-01-08,ruri38@sina.com,壁纸-鬼刀,683,53,23.83,7.7599999999999997868371792719699442386627197265625%,0.45,9
228,2021-01-08,ruri38@sina.com,壁纸-我的世界,56,7,3.15,12.5%,0.45,4
229,2021-01-08,ruri38@sina.com,壁纸-漫威,608,13,6.07,2.140000000000000124344978758017532527446746826171875%,0.47,6
230,2021-01-08,ruri38@sina.com,壁纸-行业词,23490,2775,1327.25,11.8100000000000004973799150320701301097869873046875%,0.48,115
231,2021-01-08,ruri38@sina.com,壁纸-桌面整理,1095,50,22.49,4.57000000000000028421709430404007434844970703125%,0.45,14
232,2021-01-08,ruri38@sina.com,壁纸-樱花,6,3,1.35,50%,0.45,1
233,2021-01-08,ruri38@sina.com,壁纸-猫,53,2,0.90,3.770000000000000017763568394002504646778106689453125%,0.45,2
234,2021-01-08,ruri38@sina.com,壁纸-百变小樱,26,1,0.45,3.850000000000000088817841970012523233890533447265625%,0.45,1
235,2021-01-08,ruri38@sina.com,壁纸-星空,686,38,17.10,5.54000000000000003552713678800500929355621337890625%,0.45,12
236,2021-01-08,ruri38@sina.com,壁纸-win壁纸,799,95,44.15,11.8900000000000005684341886080801486968994140625%,0.46,37
237,2021-01-08,ruri38@sina.com,壁纸-变形金刚,4,1,0.45,25%,0.45,1
238,2021-01-08,ruri38@sina.com,壁纸-柯南,56,3,1.35,5.36000000000000031974423109204508364200592041015625%,0.45,3
239,2021-01-08,ruri38@sina.com,壁纸-二次元动漫,2850,241,112.71,8.46000000000000085265128291212022304534912109375%,0.47,52
240,2021-01-08,ruri38@sina.com,公司软件-高清壁纸5,7051,1191,557.01,16.8900000000000005684341886080801486968994140625%,0.47,19
241,2021-01-08,ruri38@sina.com,壁纸-哈利波特,13,3,1.35,23.0799999999999982946974341757595539093017578125%,0.45,2
242,2021-01-08,ruri38@sina.com,壁纸-明日方舟,808,7,3.29,0.86999999999999999555910790149937383830547332763671875%,0.47,4
243,2021-01-08,ruri38@sina.com,壁纸-插画,14,3,1.35,21.42999999999999971578290569595992565155029296875%,0.45,2
244,2021-01-08,ruri38@sina.com,壁纸-高达壁纸,265,6,2.70,2.2599999999999997868371792719699442386627197265625%,0.45,3
245,2021-01-08,ruri38@sina.com,壁纸-海贼王,1449,164,76.72,11.32000000000000028421709430404007434844970703125%,0.47,35
246,2021-01-08,ruri38@sina.com,公司软件-动态壁纸1,3253,519,255.75,15.949999999999999289457264239899814128875732421875%,0.49,34
247,2021-01-08,ruri38@sina.com,公司软件-壁纸-动漫,2388,286,131.80,11.980000000000000426325641456060111522674560546875%,0.46,29
248,2021-01-08,ruri38@sina.com,壁纸-男生壁纸,24,3,1.39,12.5%,0.46,2
249,2021-01-08,ruri38@sina.com,壁纸-动物,61,3,1.35,4.9199999999999999289457264239899814128875732421875%,0.45,3
250,2021-01-08,ruri38@sina.com,壁纸-JOJO,112,10,4.50,8.92999999999999971578290569595992565155029296875%,0.45,4
251,2021-01-08,ruri38@sina.com,壁纸-鼠标,749,103,44.77,13.75%,0.43,25
252,2021-01-08,ruri38@sina.com,壁纸-简约,594,79,35.55,13.300000000000000710542735760100185871124267578125%,0.45,7
253,2021-01-08,ruri38@sina.com,公司软件-壁纸-英雄联盟,508,60,27.78,11.8100000000000004973799150320701301097869873046875%,0.46,17
254,2021-01-08,ruri38@sina.com,公司软件-动态壁纸,2428,869,379.62,35.78999999999999914734871708787977695465087890625%,0.44,3
255,2021-01-08,ruri38@sina.com,壁纸-一拳超人壁纸,4,1,0.45,25%,0.45,1
256,2021-01-08,ruri38@sina.com,壁纸-锁屏壁纸,1627,68,31.80,4.17999999999999971578290569595992565155029296875%,0.47,15
257,2021-01-08,ruri38@sina.com,壁纸-最终幻想,10,2,0.90,20%,0.45,1
258,2021-01-08,ruri38@sina.com,壁纸-汽车,82,10,4.50,12.199999999999999289457264239899814128875732421875%,0.45,8
259,2021-01-08,ruri38@sina.com,公司软件-壁纸软件7,2629,386,179.38,14.67999999999999971578290569595992565155029296875%,0.46,38
260,2021-01-08,ruri38@sina.com,壁纸-城市,13,2,0.90,15.3800000000000007815970093361102044582366943359375%,0.45,1
261,2021-01-08,ruri38@sina.com,壁纸-EVA,2,1,0.45,50%,0.45,1
262,2021-01-08,ruri38@sina.com,壁纸-蜡笔小新,195,13,5.85,6.6699999999999999289457264239899814128875732421875%,0.45,2
263,2021-01-08,ruri38@sina.com,壁纸-绿色护眼,263,15,6.75,5.70000000000000017763568394002504646778106689453125%,0.45,12
264,2021-01-08,ruri38@sina.com,壁纸-言叶之庭,9,3,1.35,33.3299999999999982946974341757595539093017578125%,0.45,1
265,2021-01-08,ruri38@sina.com,公司软件-桌面壁纸4,11428,1564,731.41,13.6899999999999995026200849679298698902130126953125%,0.47,31
266,2021-01-08,ruri38@sina.com,壁纸-天气之子,233,10,4.58,4.29000000000000003552713678800500929355621337890625%,0.46,4
267,2021-01-08,ruri38@sina.com,壁纸-灌篮高手,26,2,0.90,7.69000000000000039079850466805510222911834716796875%,0.45,1
268,2021-01-08,ruri38@sina.com,壁纸-musedash的壁纸,58,15,6.75,25.8599999999999994315658113919198513031005859375%,0.45,4
269,2021-01-08,ruri38@sina.com,壁纸-美少女战士,40,3,1.35,7.5%,0.45,2
270,2021-01-08,ruri38@sina.com,壁纸-小黄人,66,3,1.35,4.54999999999999982236431605997495353221893310546875%,0.45,1
271,2021-01-08,ruri38@sina.com,壁纸-自然景观,229,25,11.25,10.9199999999999999289457264239899814128875732421875%,0.45,3
272,2021-01-08,ruri38@sina.com,壁纸-小埋壁纸,16,1,0.45,6.25%,0.45,1
273,2021-01-08,ruri38@sina.com,壁纸-游戏,109,10,4.68,9.1699999999999999289457264239899814128875732421875%,0.47,7
274,2021-01-08,ruri38@sina.com,公司软件-动态桌面8,1205,306,143.28,25.3900000000000005684341886080801486968994140625%,0.47,8
275,2021-01-08,ruri38@sina.com,壁纸-ins风,142,13,5.85,9.1500000000000003552713678800500929355621337890625%,0.45,7
276,2021-01-08,ruri38@sina.com,壁纸-壁纸少女心,220,21,9.45,9.550000000000000710542735760100185871124267578125%,0.45,5
277,2021-01-08,ruri38@sina.com,壁纸-动态壁纸制作,43,12,5.40,27.910000000000000142108547152020037174224853515625%,0.45,8
278,2021-01-08,ruri38@sina.com,壁纸-唯美,882,86,38.70,9.75%,0.45,8
279,2021-01-08,ruri38@sina.com,公司软件-电脑桌面壁纸10,4454,603,282.59,13.53999999999999914734871708787977695465087890625%,0.47,18
280,2021-01-08,ruri38@sina.com,壁纸-大海,6,1,0.45,16.6700000000000017053025658242404460906982421875%,0.45,1
281,2021-01-08,ruri38@sina.com,壁纸-竞品软件,6325,446,207.12,7.04999999999999982236431605997495353221893310546875%,0.46,47
282,2021-01-08,ruri38@sina.com,壁纸-蕾姆壁纸,2,1,0.47,50%,0.47,1
283,2021-01-08,ruri38@sina.com,壁纸-时钟,544,37,16.64,6.79999999999999982236431605997495353221893310546875%,0.45,22
284,2021-01-08,ruri38@sina.com,壁纸-星球大战,22,1,0.45,4.54999999999999982236431605997495353221893310546875%,0.45,1
285,2021-01-08,ruri38@sina.com,壁纸-文字,18,4,1.80,22.219999999999998863131622783839702606201171875%,0.45,2
286,2021-01-08,ruri38@sina.com,壁纸-CF,46,5,2.25,10.8699999999999992184029906638897955417633056640625%,0.45,1
287,2021-01-08,ruri38@sina.com,壁纸-小清新,290,14,6.30,4.8300000000000000710542735760100185871124267578125%,0.45,9
288,2021-01-08,ruri38@sina.com,壁纸-罪恶王冠,4,2,0.90,50%,0.45,2
289,2021-01-08,ruri38@sina.com,壁纸-鬼灭之刃,245,35,16.39,14.28999999999999914734871708787977695465087890625%,0.47,4
290,2021-01-08,ruri38@sina.com,壁纸-你的名字,474,31,14.29,6.54000000000000003552713678800500929355621337890625%,0.46,6
291,2021-01-08,ruri38@sina.com,壁纸-皮卡丘,40,2,0.90,5%,0.45,2
292,2021-01-08,ruri38@sina.com,壁纸-科幻,4,2,0.90,50%,0.45,1
293,2021-01-08,ruri38@sina.com,壁纸-神奇宝贝,2,1,0.45,50%,0.45,1
294,2021-01-08,ruri38@sina.com,壁纸-C罗壁纸,2,1,0.45,50%,0.45,1
295,2021-01-08,ruri38@sina.com,壁纸-屏保,1598,70,31.01,4.37999999999999989341858963598497211933135986328125%,0.44,21
296,2021-01-08,ruri38@sina.com,壁纸-魔法少女小圆,12,2,0.90,16.6700000000000017053025658242404460906982421875%,0.45,2
297,2021-01-08,ruri38@sina.com,壁纸-龙猫壁纸,57,5,2.25,8.769999999999999573674358543939888477325439453125%,0.45,4
298,2021-01-08,ruri38@sina.com,壁纸-02壁纸,267,20,9.32,7.4900000000000002131628207280300557613372802734375%,0.47,8
299,2021-01-08,ruri38@sina.com,公司软件-电脑桌面9,1503,129,58.62,8.5800000000000000710542735760100185871124267578125%,0.45,2
300,2021-01-08,ruri38@sina.com,壁纸-fate,120,8,3.70,6.6699999999999999289457264239899814128875732421875%,0.46,6
301,2021-01-08,ruri38@sina.com,壁纸-DNF壁纸,126,9,4.05,7.13999999999999968025576890795491635799407958984375%,0.45,3
302,2021-01-08,ruri38@sina.com,壁纸-天官赐福壁纸,231,19,8.55,8.230000000000000426325641456060111522674560546875%,0.45,5
303,2021-01-08,ruri38@sina.com,壁纸-尼尔机械纪元,16,3,1.35,18.75%,0.45,3
304,2021-01-08,ruri38@sina.com,壁纸-爱情,23,4,1.80,17.3900000000000005684341886080801486968994140625%,0.45,3
305,2021-01-08,ruri38@sina.com,公司软件-电脑壁纸3,16527,2453,1133.35,14.839999999999999857891452847979962825775146484375%,0.46,64
306,2021-01-08,ruri38@sina.com,壁纸-奥特曼,133,15,6.57,11.2799999999999993605115378159098327159881591796875%,0.44,5
307,2021-01-08,ruri38@sina.com,壁纸-阿丽塔壁纸,8,2,0.90,25%,0.45,2
308,2021-01-08,ruri38@sina.com,壁纸-4K,2641,289,134.71,10.9399999999999995026200849679298698902130126953125%,0.47,20
