编号,日期,账户,推广计划,展示数,点击数,消耗,点击率,点击均价,有消耗词量
198,2021-01-08,liubaoxin@cmcm.com,公司软件-金山打字通,1352,219,115.35,16.199999999999999289457264239899814128875732421875%,0.53,18
199,2021-01-08,liubaoxin@cmcm.com,第三方软件-xmind,1180,315,158.32,26.690000000000001278976924368180334568023681640625%,0.50,13
200,2021-01-08,liubaoxin@cmcm.com,公司软件-猎豹浏览器,9991,483,218.03,4.8300000000000000710542735760100185871124267578125%,0.45,35
201,2021-01-08,liubaoxin@cmcm.com,第三方软件-Microsoft,1562,30,13.50,1.9199999999999999289457264239899814128875732421875%,0.45,10
202,2021-01-08,liubaoxin@cmcm.com,第三方软件-飞信,38,1,0.50,2.62999999999999989341858963598497211933135986328125%,0.50,1
203,2021-01-08,liubaoxin@cmcm.com,第三方软件-美图秀秀,11630,379,170.43,3.2599999999999997868371792719699442386627197265625%,0.45,9
204,2021-01-08,liubaoxin@cmcm.com,第三方软件-韩语输入法,109,8,3.60,7.339999999999999857891452847979962825775146484375%,0.45,3
205,2021-01-08,liubaoxin@cmcm.com,第三方软件-WPS-word,10058,942,423.38,9.3699999999999992184029906638897955417633056640625%,0.45,81
206,2021-01-08,liubaoxin@cmcm.com,第三方软件-网易云音乐,48372,2035,977.20,4.20999999999999996447286321199499070644378662109375%,0.48,17
207,2021-01-08,liubaoxin@cmcm.com,第三方软件-狸窝全能视频转换器,93,28,12.60,30.1099999999999994315658113919198513031005859375%,0.45,6
208,2021-01-08,liubaoxin@cmcm.com,第三方软件-迷你世界,7391,1293,581.85,17.489999999999998436805981327779591083526611328125%,0.45,30
209,2021-01-08,liubaoxin@cmcm.com,第三方软件-三好课堂,2,1,0.47,50%,0.47,1
210,2021-01-08,liubaoxin@cmcm.com,第三方软件-驱动精灵,17786,2167,1244.75,12.17999999999999971578290569595992565155029296875%,0.57,19
211,2021-01-08,liubaoxin@cmcm.com,第三方软件-逍遥笔手写输入法,448,45,24.80,10.03999999999999914734871708787977695465087890625%,0.55,10
212,2021-01-08,liubaoxin@cmcm.com,第三方软件-极品五笔输入法,843,118,56.31,14%,0.48,15
213,2021-01-08,liubaoxin@cmcm.com,第三方软件-welink,43,10,4.71,23.260000000000001563194018672220408916473388671875%,0.47,3
214,2021-01-08,liubaoxin@cmcm.com,第三方软件-完美解码,206,8,3.60,3.87999999999999989341858963598497211933135986328125%,0.45,2
215,2021-01-08,liubaoxin@cmcm.com,第三方软件-讯飞输入法,652,8,3.60,1.229999999999999982236431605997495353221893310546875%,0.45,1
216,2021-01-08,liubaoxin@cmcm.com,第三方软件-暴风影音,3782,652,299.68,17.239999999999998436805981327779591083526611328125%,0.46,24
217,2021-01-08,liubaoxin@cmcm.com,第三方软件-WPS2019,301,40,18.00,13.28999999999999914734871708787977695465087890625%,0.45,10
218,2021-01-08,liubaoxin@cmcm.com,第三方软件-拳皇,1421,224,100.03,15.7599999999999997868371792719699442386627197265625%,0.45,23
219,2021-01-08,liubaoxin@cmcm.com,第三方软件-skype,2,2,0.96,100%,0.48,1
220,2021-01-08,liubaoxin@cmcm.com,第三方软件-zoom视频会议,186,65,29.25,34.9500000000000028421709430404007434844970703125%,0.45,9
221,2021-01-08,liubaoxin@cmcm.com,第三方软件-部落冲突,30,2,0.93,6.6699999999999999289457264239899814128875732421875%,0.47,1
222,2021-01-08,liubaoxin@cmcm.com,第三方软件-QQ影音,2343,52,23.52,2.220000000000000195399252334027551114559173583984375%,0.45,5
223,2021-01-08,liubaoxin@cmcm.com,第三方软件-和平精英,268,14,6.30,5.21999999999999975131004248396493494510650634765625%,0.45,7
224,2021-01-08,liubaoxin@cmcm.com,第三方软件-WPS,26982,5195,2895.38,19.25%,0.56,130
225,2021-01-08,liubaoxin@cmcm.com,第三方软件-微师客户端,620,92,41.75,14.839999999999999857891452847979962825775146484375%,0.45,20
226,2021-01-08,liubaoxin@cmcm.com,第三方软件-WIFI共享大师,2139,104,48.86,4.86000000000000031974423109204508364200592041015625%,0.47,24
227,2021-01-08,liubaoxin@cmcm.com,第三方软件-全民K歌,4112,565,251.03,13.7400000000000002131628207280300557613372802734375%,0.44,13
228,2021-01-08,liubaoxin@cmcm.com,第三方软件-洋葱教学,513,80,36.00,15.589999999999999857891452847979962825775146484375%,0.45,5
229,2021-01-08,liubaoxin@cmcm.com,第三方软件-万能五笔,8821,1669,910.02,18.9200000000000017053025658242404460906982421875%,0.55,66
230,2021-01-08,liubaoxin@cmcm.com,第三方软件-植物大战僵尸,8250,1151,500.21,13.949999999999999289457264239899814128875732421875%,0.43,10
231,2021-01-08,liubaoxin@cmcm.com,第三方软件-AutoCAD,367,46,20.70,12.5299999999999993605115378159098327159881591796875%,0.45,26
232,2021-01-08,liubaoxin@cmcm.com,第三方软件-网盘,6137,91,43.30,1.479999999999999982236431605997495353221893310546875%,0.48,10
233,2021-01-08,liubaoxin@cmcm.com,第三方软件-智能ABC,64,10,4.50,15.6300000000000007815970093361102044582366943359375%,0.45,2
234,2021-01-08,liubaoxin@cmcm.com,第三方软件-itunes,834,16,7.20,1.9199999999999999289457264239899814128875732421875%,0.45,7
235,2021-01-08,liubaoxin@cmcm.com,第三方软件-学而思,35,1,0.45,2.859999999999999875655021241982467472553253173828125%,0.45,1
236,2021-01-08,liubaoxin@cmcm.com,第三方软件-猿辅导,814,161,73.73,19.780000000000001136868377216160297393798828125%,0.46,13
237,2021-01-08,liubaoxin@cmcm.com,毒霸-杀软,562,23,10.29,4.089999999999999857891452847979962825775146484375%,0.45,7
238,2021-01-08,liubaoxin@cmcm.com,第三方软件-猎豹免费WIFI,1491,53,27.35,3.54999999999999982236431605997495353221893310546875%,0.52,8
239,2021-01-08,liubaoxin@cmcm.com,第三方软件-WPS-ppt,1267,278,124.92,21.940000000000001278976924368180334568023681640625%,0.45,17
240,2021-01-08,liubaoxin@cmcm.com,第三方软件-cad快速看图,2620,292,160.89,11.1500000000000003552713678800500929355621337890625%,0.55,23
241,2021-01-08,liubaoxin@cmcm.com,第三方软件-谷歌浏览器,31301,1345,762.35,4.29999999999999982236431605997495353221893310546875%,0.57,78
242,2021-01-08,liubaoxin@cmcm.com,第三方软件-小鱼易连,1199,259,127.00,21.60000000000000142108547152020037174224853515625%,0.49,10
243,2021-01-08,liubaoxin@cmcm.com,第三方软件-王者荣耀PC版,11237,256,115.20,2.279999999999999804600747665972448885440826416015625%,0.45,7
244,2021-01-08,liubaoxin@cmcm.com,第三方软件-千牛,3201,843,394.49,26.339999999999999857891452847979962825775146484375%,0.47,34
245,2021-01-08,liubaoxin@cmcm.com,第三方软件-rar解压软件,19474,1474,762.64,7.57000000000000028421709430404007434844970703125%,0.52,118
246,2021-01-08,liubaoxin@cmcm.com,第三方软件-分区助手,1293,60,26.56,4.63999999999999968025576890795491635799407958984375%,0.44,7
247,2021-01-08,liubaoxin@cmcm.com,第三方软件-比特精灵,168,6,2.70,3.569999999999999840127884453977458178997039794921875%,0.45,1
248,2021-01-08,liubaoxin@cmcm.com,第三方软件-CAJViewer,2980,367,178.31,12.32000000000000028421709430404007434844970703125%,0.49,32
249,2021-01-08,liubaoxin@cmcm.com,第三方软件-QQ,14794,573,289.60,3.87000000000000010658141036401502788066864013671875%,0.51,56
250,2021-01-08,liubaoxin@cmcm.com,第三方软件-EV录屏,59,2,0.98,3.390000000000000124344978758017532527446746826171875%,0.49,2
251,2021-01-08,liubaoxin@cmcm.com,第三方软件-爱剪辑,964,200,90.00,20.75%,0.45,16
252,2021-01-08,liubaoxin@cmcm.com,第三方软件-Origin,1516,155,69.75,10.2200000000000006394884621840901672840118408203125%,0.45,3
253,2021-01-08,liubaoxin@cmcm.com,第三方软件-驾考宝典,3366,270,121.50,8.019999999999999573674358543939888477325439453125%,0.45,7
254,2021-01-08,liubaoxin@cmcm.com,第三方软件-新微信PC版,100260,14521,9837.76,14.480000000000000426325641456060111522674560546875%,0.68,96
255,2021-01-08,liubaoxin@cmcm.com,第三方软件-泡泡加速器,292,58,26.10,19.8599999999999994315658113919198513031005859375%,0.45,5
256,2021-01-08,liubaoxin@cmcm.com,第三方软件-雷电模拟器,6220,1118,502.83,17.969999999999998863131622783839702606201171875%,0.45,15
257,2021-01-08,liubaoxin@cmcm.com,第三方软件-whatsapp,8,3,1.35,37.5%,0.45,2
258,2021-01-08,liubaoxin@cmcm.com,公司软件-C盘瘦身,3123,167,74.91,5.3499999999999996447286321199499070644378662109375%,0.45,61
259,2021-01-08,liubaoxin@cmcm.com,第三方软件-PDF,4560,214,117.83,4.69000000000000039079850466805510222911834716796875%,0.55,31
260,2021-01-08,liubaoxin@cmcm.com,第三方软件-Microsoft Visio,1528,67,30.13,4.37999999999999989341858963598497211933135986328125%,0.45,26
261,2021-01-08,liubaoxin@cmcm.com,第三方软件-桌面日历,93,12,5.40,12.9000000000000003552713678800500929355621337890625%,0.45,6
262,2021-01-08,liubaoxin@cmcm.com,第三方软件-新酷我音乐,4085,703,342.30,17.21000000000000085265128291212022304534912109375%,0.49,14
263,2021-01-08,liubaoxin@cmcm.com,第三方软件-CorelDRAW,153,12,5.40,7.839999999999999857891452847979962825775146484375%,0.45,3
264,2021-01-08,liubaoxin@cmcm.com,第三方软件-Notepad,1011,91,40.95,9%,0.45,3
265,2021-01-08,liubaoxin@cmcm.com,第三方软件-Everything,1404,58,26.10,4.12999999999999989341858963598497211933135986328125%,0.45,3
266,2021-01-08,liubaoxin@cmcm.com,第三方软件-阿里旺旺,3575,483,238.98,13.5099999999999997868371792719699442386627197265625%,0.49,18
267,2021-01-08,liubaoxin@cmcm.com,第三方软件-酷狗音乐,17437,1164,561.02,6.67999999999999971578290569595992565155029296875%,0.48,34
268,2021-01-08,liubaoxin@cmcm.com,第三方软件-极点五笔输入法,549,101,47.13,18.39999999999999857891452847979962825775146484375%,0.47,11
269,2021-01-08,liubaoxin@cmcm.com,第三方软件-腾讯会议,3450,26,11.74,0.75%,0.45,12
270,2021-01-08,liubaoxin@cmcm.com,第三方软件-cctalk,780,37,16.65,4.7400000000000002131628207280300557613372802734375%,0.45,8
271,2021-01-08,liubaoxin@cmcm.com,第三方软件-KMPlayer,106,15,6.75,14.1500000000000003552713678800500929355621337890625%,0.45,2
272,2021-01-08,liubaoxin@cmcm.com,第三方软件-荒野行动,850,88,39.60,10.3499999999999996447286321199499070644378662109375%,0.45,5
273,2021-01-08,liubaoxin@cmcm.com,第三方软件-拼音输入法,4810,231,103.59,4.79999999999999982236431605997495353221893310546875%,0.45,27
274,2021-01-08,liubaoxin@cmcm.com,第三方软件-photoshopcs6,8858,791,385.93,8.92999999999999971578290569595992565155029296875%,0.49,80
275,2021-01-08,liubaoxin@cmcm.com,第三方软件-Adobe Reader,878,171,77.63,19.480000000000000426325641456060111522674560546875%,0.45,15
276,2021-01-08,liubaoxin@cmcm.com,第三方软件-PDF-竞品,1203,20,9.00,1.6599999999999999200639422269887290894985198974609375%,0.45,6
277,2021-01-08,liubaoxin@cmcm.com,第三方软件-QQ拼音,1806,32,15.36,1.770000000000000017763568394002504646778106689453125%,0.48,6
278,2021-01-08,liubaoxin@cmcm.com,第三方软件-网易邮箱大师,1962,153,68.85,7.79999999999999982236431605997495353221893310546875%,0.45,19
279,2021-01-08,liubaoxin@cmcm.com,第三方软件-一键ROOT大师,1177,129,58.05,10.96000000000000085265128291212022304534912109375%,0.45,9
280,2021-01-08,liubaoxin@cmcm.com,第三方软件-FlashPlayer,7515,1136,511.30,15.1199999999999992184029906638897955417633056640625%,0.45,42
281,2021-01-08,liubaoxin@cmcm.com,第三方软件-香肠派对,201,37,16.65,18.410000000000000142108547152020037174224853515625%,0.45,4
282,2021-01-08,liubaoxin@cmcm.com,第三方软件-腾讯视频,665,67,30.15,10.0800000000000000710542735760100185871124267578125%,0.45,17
283,2021-01-08,liubaoxin@cmcm.com,第三方软件-QQ浏览器,5605,321,158.00,5.730000000000000426325641456060111522674560546875%,0.49,14
284,2021-01-08,liubaoxin@cmcm.com,第三方软件-钉钉电脑版,24528,3865,2227.08,15.7599999999999997868371792719699442386627197265625%,0.58,59
285,2021-01-08,liubaoxin@cmcm.com,第三方软件-直播云,234,32,14.40,13.67999999999999971578290569595992565155029296875%,0.45,5
286,2021-01-08,liubaoxin@cmcm.com,第三方软件-QQ五笔,364,15,6.75,4.12000000000000010658141036401502788066864013671875%,0.45,8
287,2021-01-08,liubaoxin@cmcm.com,第三方软件-AxureRp,269,4,1.80,1.4899999999999999911182158029987476766109466552734375%,0.45,2
288,2021-01-08,liubaoxin@cmcm.com,第三方软件-快剪辑,687,263,118.35,38.280000000000001136868377216160297393798828125%,0.45,10
289,2021-01-08,liubaoxin@cmcm.com,第三方软件-火狐浏览器,7275,1076,584.24,14.78999999999999914734871708787977695465087890625%,0.54,26
290,2021-01-08,liubaoxin@cmcm.com,第三方软件-teamviewer,2611,126,58.78,4.8300000000000000710542735760100185871124267578125%,0.47,11
291,2021-01-08,liubaoxin@cmcm.com,第三方软件-WPS-excel,5484,356,159.80,6.4900000000000002131628207280300557613372802734375%,0.45,61
292,2021-01-08,liubaoxin@cmcm.com,第三方软件-classin,2156,274,123.30,12.71000000000000085265128291212022304534912109375%,0.45,15
293,2021-01-08,liubaoxin@cmcm.com,第三方软件-瞩目,1889,111,49.95,5.87999999999999989341858963598497211933135986328125%,0.45,17
294,2021-01-08,liubaoxin@cmcm.com,第三方软件-企业微信,4372,184,92.74,4.20999999999999996447286321199499070644378662109375%,0.50,14
295,2021-01-08,liubaoxin@cmcm.com,第三方软件-foxmail,1897,130,62.55,6.8499999999999996447286321199499070644378662109375%,0.48,11
296,2021-01-08,liubaoxin@cmcm.com,第三方软件-光影魔术手,1215,188,101.21,15.4700000000000006394884621840901672840118408203125%,0.54,13
297,2021-01-08,liubaoxin@cmcm.com,第三方软件-IE浏览器,2897,101,47.37,3.4900000000000002131628207280300557613372802734375%,0.47,8
